CONTRAST,CORRELATION,ENERGY,Homogeneity,ENTROPY,OUTPUT
0.0944,0.9671,0.2584,0.9546,1.6474,1
0.0817,0.9636,0.2808,0.9593,1.6774,1
0.0755,0.9685,0.2499,0.9628,1.688,1
0.0811,0.9684,0.2312,0.9598,1.7332,1
0.052,0.9772,0.286,0.9744,1.4939,1
0.0687,0.97,0.2936,0.9661,1.4788,1
0.0609,0.974,0.2934,0.9706,1.4974,1
0.0656,0.9744,0.3106,0.9682,1.479,1
0.0739,0.9717,0.3348,0.9648,1.458,1
0.0515,0.9789,0.3349,0.9751,1.3912,1
0.0732,0.9656,0.2614,0.9638,1.5694,1
0.0625,0.9488,0.3821,0.9691,1.3299,1
0.0601,0.9538,0.3897,0.9711,1.2321,1
0.0748,0.9453,0.3513,0.9634,1.3265,1
0.0447,0.9729,0.3974,0.9797,1.2382,1
0.0382,0.9776,0.4027,0.9815,1.2102,1
0.0489,0.9676,0.3476,0.9759,1.3598,1
0.0555,0.9664,0.3128,0.9726,1.4373,1
0.0574,0.9636,0.3828,0.9726,1.2583,1
0.0685,0.969,0.2878,0.9666,1.5525,1
0.0686,0.9656,0.2977,0.9662,1.5542,1
0.0661,0.9608,0.3333,0.9674,1.419,1
0.0938,0.9273,0.3468,0.9534,1.4681,1
0.0695,0.9595,0.3899,0.9661,1.3552,1
0.0811,0.9454,0.3301,0.9596,1.4826,1
0.0672,0.9595,0.3366,0.968,1.3679,1
0.0704,0.959,0.2785,0.9651,1.5732,1
0.0562,0.9601,0.3213,0.9721,1.4492,1
0.064,0.9635,0.2644,0.968,1.5726,1
0.0505,0.9733,0.3524,0.9753,1.3891,1
0.0553,0.9484,0.377,0.9724,1.3119,1
0.0755,0.9729,0.2583,0.9638,1.7404,1
0.0689,0.9196,0.3917,0.9657,1.205,1
0.0606,0.912,0.4789,0.9697,1.0866,1
0.0644,0.9003,0.4555,0.9678,1.1039,1
0.0477,0.9379,0.4366,0.9762,1.1255,1
0.0627,0.9349,0.3898,0.9687,1.2757,1
0.0773,0.921,0.4433,0.9614,1.2403,1
0.0485,0.954,0.4027,0.957,1.1781,1
0.0486,0.954,0.4027,0.9757,1.1783,1
0.07,0.9676,0.2761,0.9657,1.6461,1
0.0609,0.9389,0.3447,0.97,1.2671,1
0.07722,0.962,0.2792,0.9639,1.6119,1
0.0477,0.9379,0.4366,0.9762,1.1256,1
0.0606,0.9119,0.479,0.9697,1.0866,1
0.0743,0.9336,0.3522,0.964,1.3376,0
0.1179,0.894,0.3301,0.9543,1.3577,0
0.0837,0.9141,0.4155,0.9582,1.2667,0
0.093,0.913,0.4932,0.9671,1.1011,0
0.1127,0.9427,0.2989,0.606,1.5144,0
0.1179,0.894,0.3301,0.9543,1.3577,0
0.0948,0.9541,0.2363,0.9679,1.6617,0
0.0941,0.9513,0.2776,0.9698,1.521,0
0.075,0.9292,0.3493,0.9747,1.2585,0
0.0744,0.9081,0.3736,0.9634,1.2194,0
0.1069,0.8891,0.361,0.9584,1.3109,0
0.0969,0.9075,0.5062,0.9665,1.0713,0
0.1394,0.9504,0.2765,0.9479,1.6913,0
0.1448,0.9473,0.3044,0.9466,1.6373,0
0.1158,0.9387,0.278,0.9588,1.6156,0
0.093,0.913,0.4932,0.9671,1.1011,0
0.1226,0.9241,0.3635,0.9558,1.3968,0
0.1225,0.9118,0.2756,0.951,1.5719,0
0.1227,0.9412,0.3159,0.9581,1.4548,0
0.1359,0.9405,0.259,0.9526,1.6989,0
0.1126,0.9486,0.5286,0.9679,1.0853,0
0.1069,0.8891,0.361,0.9584,1.3109,0
0.1085,0.8855,0.3413,0.9594,1.3038,0
0.0969,0.9075,0.5062,0.9665,1.0713,0
0.1069,0.8891,0.361,0.9584,1.3109,0
0.1216,0.9215,0.383,0.9554,1.3765,0
0.1019,0.876,0.4184,0.961,1.2369,0
0.1069,0.8891,0.361,0.9584,1.3109,0
0.1216,0.9215,0.383,0.9554,1.3765,0
0.1216,0.9215,0.383,0.9554,1.3765,0
0.0911,0.9579,0.2878,0.9556,1.5814,0
0.1122,0.9447,0.2911,0.9468,1.5949,0
0.0732,0.9619,0.2773,0.9637,1.6246,0
0.0769,0.9623,0.2575,0.9617,1.6656,0
0.0525,0.9662,0.33,0.974,1.3945,0
0.0682,0.9577,0.3315,0.9661,1.3943,0
0.0667,0.963,0.3492,0.9673,1.4055,0
0.0494,0.9688,0.3912,0.9757,1.2723,0
0.0566,0.9657,0.3792,0.973,1.2666,0
0.0681,0.9618,0.3104,0.9618,1.5197,0
0.0776,0.9412,0.3541,0.9614,1.4336,0
0.0814,0.9442,0.3334,0.9595,1.4756,0
0.0857,0.9479,0.2766,0.9578,1.5995,0
0.0648,0.9618,0.2688,0.9676,1.5612,0
0.059,0.9589,0.3579,0.9709,1.3845,0
